Inspection Date,Zip,Failed
2019-01-03,60622,0
2019-01-04,60602,0
2019-01-04,60607,0
2019-01-04,60613,1
2024-09-19,60634,0
2019-01-04,60630,0
2019-01-04,60612,0
2019-01-04,60613,0
2019-01-08,60628,0
2019-01-08,60608,0
2024-09-19,60654,1
2024-09-19,60623,0
2019-01-08,60605,1
2019-01-08,60622,0
2019-01-08,60612,0
2019-01-09,60647,0
2019-01-09,60622,0
2019-01-09,60604,0
2019-01-09,60612,1
2019-01-09,60630,0
2019-01-09,60644,1
2019-01-09,60612,1
2019-01-10,60614,0
2019-01-10,60622,0
2019-01-10,60639,1
2024-09-19,60629,0
2019-01-11,60642,1
2019-01-11,60625,1
2019-01-11,60657,0
2019-01-11,60647,1
2019-01-14,60607,0
2019-01-14,60640,1
2019-01-14,60647,1
2019-01-15,60649,0
2019-01-15,60611,0
2019-01-15,60659,0
2019-01-17,60622,0
2019-01-17,60622,0
2019-01-17,60606,0
2019-01-17,60656,0
2019-01-18,60622,0
2019-01-18,60647,0
2024-09-18,60632,0
2019-01-22,60623,1
2019-01-22,60622,0
2019-01-28,60612,0
2019-01-28,60647,0
2019-01-28,60622,0
2019-02-01,60622,1
2019-02-01,60623,0
2024-09-18,60652,0
2019-02-01,60637,1
2019-02-04,60622,0
2019-02-06,60608,0
2019-02-06,60638,1
2024-09-18,60613,0
2019-02-06,60652,0
2019-02-07,60622,0
2019-02-07,60661,0
2019-02-07,60659,0
2024-09-18,60622,0
2024-09-18,60610,0
2019-02-08,60640,0
2019-02-08,60639,1
2019-02-08,60622,0
2019-02-08,60628,0
2024-09-18,60623,0
2019-02-14,60622,1
2019-02-15,60605,1
2019-02-21,60659,1
2019-02-21,60643,1
2024-09-18,60645,0
2024-09-18,60622,0
2019-02-21,60606,1
2019-02-22,60601,0
2019-02-25,60647,0
2019-02-26,60614,0
2024-09-18,60654,0
2019-03-05,60614,0
2019-03-06,60659,1
2019-03-06,60608,1
2019-03-08,60661,0
2019-03-08,60622,0
2019-03-12,60625,0
2019-03-14,60656,1
2024-09-17,60657,0
2024-09-17,60654,0
2019-03-14,60622,1
2019-03-14,60619,0
2019-03-15,60622,0
2019-03-19,60638,1
2024-09-17,60640,0
2019-03-19,60639,0
2019-03-20,60608,0
2019-03-20,60619,1
2019-03-21,60639,1
2019-03-21,60620,0
2019-03-21,60655,0
2019-03-26,60659,0
2019-03-28,60611,0
2019-03-28,60659,1
2019-04-03,60639,1
2019-04-03,60647,1
2019-04-04,60611,0
2019-04-05,60622,1
2024-09-17,60630,0
2024-09-17,60615,0
2024-09-17,60645,0
2019-04-11,60614,0
2019-04-15,60619,1
2019-04-24,60646,0
2024-09-16,60640,0
2024-09-17,60634,0
2024-09-16,60660,0
2024-09-16,60637,0
2024-09-16,60661,0
2019-04-30,60622,0
2019-05-02,60656,1
2019-04-30,60613,1
2019-05-02,60638,1
2019-05-03,60613,1
2024-09-16,60634,0
2019-05-07,60613,1
2024-09-16,60630,0
2024-09-16,60654,0
2019-05-08,60626,0
2024-09-16,60618,0
2019-05-13,60611,1
2019-05-13,60647,1
2019-05-14,60647,0
2024-09-16,60631,0
2024-09-16,60613,0
2024-09-16,60613,0
2019-05-17,60610,0
2024-09-16,60622,0
2024-09-16,60613,0
2019-05-22,60611,1
2024-09-16,60603,0
2024-09-16,60641,0
2019-05-22,60615,0
2019-05-23,60656,0
2019-05-23,60608,0
2019-05-28,60622,0
2024-09-16,60657,0
2019-05-28,60661,0
2019-05-30,60634,1
2019-05-30,60617,0
2019-05-30,60659,0
2024-09-13,60615,0
2024-09-13,60613,0
2019-05-30,60629,0
2019-05-31,60628,0
2019-05-31,60609,1
2019-05-31,60640,0
2024-09-13,60645,0
2024-09-13,60609,0
2019-06-04,60647,1
2019-06-04,60623,0
2019-06-04,60629,0
2019-06-04,60647,0
2024-09-13,60632,0
2019-06-04,60657,0
2019-06-05,60625,0
2019-06-05,60629,0
2019-06-05,60630,0
2024-09-13,60657,0
2019-06-05,60622,0
2019-06-05,60640,1
2019-06-06,60632,1
2019-06-06,60617,1
2024-09-13,60651,1
2019-06-06,60620,0
2019-06-06,60645,1
2019-06-06,60632,0
2019-06-06,60613,1
2024-09-13,60609,0
2024-09-13,60638,0
2019-06-07,60617,0
2019-06-07,60616,1
2019-06-07,60641,1
2019-06-07,60629,0
2019-06-07,60629,1
2019-06-07,60630,1
2019-06-07,60614,0
2019-06-07,60647,1
2019-06-10,60641,1
2019-06-10,60647,1
2024-09-13,60630,0
2024-09-13,60630,0
2024-09-13,60644,0
2019-06-10,60647,0
2019-06-11,60641,1
2019-06-12,60614,0
2024-09-13,60707,0
2024-09-13,60707,0
2024-09-12,60654,0
2019-06-12,60644,1
2019-06-13,60625,1
2019-06-13,60626,0
